DEPARTAMENTO,MUNICIPIO,TOTAL,URBANO,RURAL
AHUACHAPÁN,Ahuachapán,110511,57703,34083
AHUACHAPÁN,Apaneca,8383,4295,1563
AHUACHAPÁN,Atiquizaya,33587,17349,11011
AHUACHAPÁN,Concepción de Ataco,12786,6510,3066
AHUACHAPÁN,El Refugio,8171,4275,3325
AHUACHAPÁN,Guaymango,19037,9550,671
AHUACHAPÁN,Jujutla,28599,14618,3545
AHUACHAPÁN,San Francisco Menéndez,42607,21838,6548
AHUACHAPÁN,San Lorenzo,9194,4537,576
AHUACHAPÁN,San Pedro Puxtla,7773,3893,951
AHUACHAPÁN,Tacuba,29858,15042,2579
AHUACHAPÁN,Turín,8997,4734,3387
SANTA ANA,Candelaria de la Frontera,22686,11660,4224
SANTA ANA,Chalchuapa,74038,38503,25374
SANTA ANA,Coatepeque,36768,18831,6960
SANTA ANA,El Congo,24219,12731,7823
SANTA ANA,El Porvenir,8232,4148,479
SANTA ANA,Masahuat,3393,1735,248
SANTA ANA,Metapán,59004,31173,10428
SANTA ANA,San Antonio Pajonal,3279,1672,719
SANTA ANA,San Sebastián Salitrillo,18566,9835,9282
SANTA ANA,Santa Ana,245421,127856,107225
SANTA ANA,Santa Rosa Guachipilín,4930,2606,240
SANTA ANA,Santiago de la Frontera,5196,2682,753
SANTA ANA,Texistepeque,17923,9254,1666
SONSONATE,Acajutla,52359,26798,13091
SONSONATE,Armenia,34912,18114,12650
SONSONATE,Caluco,9139,4440,815
SONSONATE,Cuisnahuat,12676,6280,1526
SONSONATE,Izalco,70959,36539,20748
SONSONATE,Juayúa,24465,12628,7236
SONSONATE,Nahuizalco,49081,25385,17423
SONSONATE,Nahulingo,10417,5305,3823
SONSONATE,Salcoatitán,5484,2803,1041
SONSONATE,San Antonio del Monte,26902,14336,10749
SONSONATE,San Julián,18648,9383,4838
SONSONATE,Santa Catarina Masahuat,10076,5130,2242
SONSONATE,Santa Isabel Ishuatán,10241,5122,439
SONSONATE,Santo Domingo de Guzmán,7055,3657,1223
SONSONATE,Sonsonate,71541,37424,26186
SONSONATE,Sonzacate,25005,13364,13364
CHALATENANGO,Agua Caliente,8261,4441,1093
CHALATENANGO,Arcatao,2946,1461,480
CHALATENANGO,Azacualpa,1136,586,279
CHALATENANGO,Cancasque,1751,865,317
CHALATENANGO,Chalatenango,29271,15111,8741
CHALATENANGO,Citalá,4164,2200,747
CHALATENANGO,Comalapa,2996,1606,430
CHALATENANGO,Concepción Quezaltepeque,6457,3408,1587
CHALATENANGO,Dulce Nombre de Maria,5051,2674,1117
CHALATENANGO,El Carrizal,2464,1312,201
CHALATENANGO,El Paraíso,10483,5411,1536
CHALATENANGO,La Laguna,3923,2005,244
CHALATENANGO,La Palma,12235,6454,1593
CHALATENANGO,La Reina,9525,5022,1115
CHALATENANGO,Las Flores,1583,774,291
CHALATENANGO,Las Vueltas,940,487,158
CHALATENANGO,Nombre de Jesús,4484,2366,443
CHALATENANGO,Nueva Concepción,28625,15134,5319
CHALATENANGO,Nueva Trinidad,1673,815,116
CHALATENANGO,Ojos de Agua,3667,2024,443
CHALATENANGO,Potonico,1586,828,405
CHALATENANGO,San Antonio de la Cruz,1854,940,61
CHALATENANGO,San Antonio los Ranchos,1619,827,320
CHALATENANGO,San Fernando,2593,1321,314
CHALATENANGO,San Francisco Lempa,862,436,305
CHALATENANGO,San Francisco Morazán,3919,1932,382
CHALATENANGO,San Ignacio,8611,4556,685
CHALATENANGO,San Isidro Labrador,2592,1349,592
CHALATENANGO,San Luís del Carmen,1173,602,146
CHALATENANGO,San Miguel de Mercedes,2487,1251,543
CHALATENANGO,San Rafael,4264,2268,879
CHALATENANGO,Santa Rita,5985,3104,223
CHALATENANGO,Tejutla,13608,7043,2870
LA LIBERTAD,Antiguo Cuscatlán,33698,18422,18422
LA LIBERTAD,Chiltiupán,10897,5413,418
LA LIBERTAD,Ciudad Arce,60314,31241,21664
LA LIBERTAD,Colón,96989,51208,48297
LA LIBERTAD,Comasagua,11870,5904,1507
LA LIBERTAD,Huizucar,14465,7437,2532
LA LIBERTAD,Jayaque,11058,5649,3569
LA LIBERTAD,Jicalápa,5116,2573,207
LA LIBERTAD,La Libertad,35997,18598,12056
LA LIBERTAD,Nuevo Cuscatlán,6897,3617,2153
LA LIBERTAD,Quezaltepeque,52643,27728,19376
LA LIBERTAD,Sacacoyo,12299,6325,5119
LA LIBERTAD,San José Villanueva,13576,6993,5578
LA LIBERTAD,San Juán Opico,74280,38730,23873
LA LIBERTAD,San Matías,7314,3745,620
LA LIBERTAD,San Pablo Tacachico,20366,10438,2934
LA LIBERTAD,Santa Tecla,121908,66128,59525
LA LIBERTAD,Talnique,8254,4186,2503
LA LIBERTAD,Tamanique,13544,6819,1997
LA LIBERTAD,Teotepeque,12320,6254,653
LA LIBERTAD,Tepecoyo,14322,7337,4320
LA LIBERTAD,Zaragoza,22525,11841,9559
SAN SALVADOR,Aguilares,21267,11423,10374
SAN SALVADOR,Apopa,131286,70114,70114
SAN SALVADOR,Ayutuxtepeque,34710,17634,17634
SAN SALVADOR,Cuscatancingo,66400,35618,35618
SAN SALVADOR,Delgado,120200,63903,59780
SAN SALVADOR,El Paisnal,14551,7467,3496
SAN SALVADOR,Guazapa,22906,11790,7406
SAN SALVADOR,Ilopango,103862,56136,56136
SAN SALVADOR,Mejicanos,140751,76242,76242
SAN SALVADOR,Nejapa,29458,15168,8658
SAN SALVADOR,Panchimalco,41260,21303,8485
SAN SALVADOR,Rosario de Mora,11377,5831,2620
SAN SALVADOR,San Marcos,63209,33592,33592
SAN SALVADOR,San Martín,72758,38708,35177
SAN SALVADOR,San Salvador,316090,171873,171873
SAN SALVADOR,Santiago Texacuangos,19428,10077,6482
SAN SALVADOR,Santo Tomas,25344,13193,9806
SAN SALVADOR,Soyapango,241403,130169,130169
SAN SALVADOR,Tonacatepeque,90896,48118,41632
CUSCATLÁN,Candelaria,10090,5223,1935
CUSCATLÁN,Cojutepeque,50315,26744,21961
CUSCATLÁN,El Carmen,13345,6931,1120
CUSCATLÁN,El Rosario,4220,2218,232
CUSCATLÁN,Monte San Juán,10224,5339,866
CUSCATLÁN,Oratorio de Concepción,3578,1818,452
CUSCATLÁN,San Bartolomé Perulapía,8058,4158,2468
CUSCATLÁN,San Cristóbal,8316,4270,435
CUSCATLÁN,San José Guayabal,9300,4672,1466
CUSCATLÁN,San Pedro Perulapán,44730,23171,7878
CUSCATLÁN,San Rafael Cedros,17069,9062,2842
CUSCATLÁN,San Ramón,6292,3295,657
CUSCATLÁN,Santa Cruz Analquito,2585,1302,926
CUSCATLÁN,Santa Cruz Michapa,11790,6206,3539
CUSCATLÁN,Suchitoto,24786,12569,4096
CUSCATLÁN,Tenancingo,6782,3406,506
LA PAZ,Cuyultitán,5590,2889,1763
LA PAZ,El Rosario,16784,8760,4967
LA PAZ,Jerusalen,2570,1327,230
LA PAZ,Mercedes la Ceiba,637,312,241
LA PAZ,Olocuilta,29529,15422,8369
LA PAZ,Paraíso de Osorio,2727,1375,890
LA PAZ,San Antonio Masahuat,4258,2172,583
LA PAZ,San Emigdio,2818,1449,729
LA PAZ,San Francisco Chinameca,7387,3756,1352
LA PAZ,San Juan Nonualco,17256,9081,4109
LA PAZ,San Juan Talpa,7707,4067,2411
LA PAZ,San Juan Tepezontes,3630,1832,681
LA PAZ,San Luís La Herradura,20405,10413,4490
LA PAZ,San Luís Talpa,21675,11302,6982
LA PAZ,San Miguel Tepezontes,5084,2621,1338
LA PAZ,San Pedro Masahuat,25446,13160,6814
LA PAZ,San Pedro Nonualco,9252,4738,1667
LA PAZ,San Rafael Obrajuelo,9820,5282,2813
LA PAZ,Santa Maria Ostuma,5990,2994,811
LA PAZ,Santiago Nonualco,39887,20710,6465
LA PAZ,Tapalhuaca,3809,1946,384
LA PAZ,Zacatecoluca,65826,34483,22447
CABAÑAS,Cinquera,1467,718,234
CABAÑAS,Dolores,6347,3283,750
CABAÑAS,Guacotecti,5550,2958,1323
CABAÑAS,Ilobasco,61510,32534,12900
CABAÑAS,Jutiapa,6584,3457,318
CABAÑAS,San Isidro,7796,4027,816
CABAÑAS,Sensuntepeque,40332,21636,8528
CABAÑAS,Tejutepeque,7114,3776,1497
CABAÑAS,Victoria,12626,6733,712
SAN VICENTE,Apastepeque,18342,9446,2593
SAN VICENTE,Guadalupe,5486,2885,1951
SAN VICENTE,San Cayetano Istepeque,5103,2689,855
SAN VICENTE,San Esteban Catarina,5661,2932,1351
SAN VICENTE,San Ildefonso,7799,4075,1156
SAN VICENTE,San Lorenzo,6055,3185,1085
SAN VICENTE,San Sebastián,14411,7478,3535
SAN VICENTE,San Vicente,53213,27675,19216
SAN VICENTE,Santa Clara,5349,2697,502
SAN VICENTE,Santo Domingo,6445,3453,1266
SAN VICENTE,Tecoluca,23893,12335,5619
SAN VICENTE,Tepetitán,3631,1952,981
SAN VICENTE,Verapaz,6257,3156,1272
USULUTÁN,Alegría,11712,6048,838
USULUTÁN,Berlín,17787,9038,5107
USULUTÁN,California,2628,1390,870
USULUTÁN,Concepción Batres,12197,6461,1733
USULUTÁN,El Triunfo,6924,3644,1626
USULUTÁN,Ereguayquin,6119,3264,996
USULUTÁN,Estanzuelas,9015,4753,2083
USULUTÁN,Jiquilisco,47784,24846,10869
USULUTÁN,Jucuapa,18442,9519,5414
USULUTÁN,Jucuarán,13424,6805,612
USULUTÁN,Mercedes Umaña,13092,6760,1666
USULUTÁN,Nueva Granada,7451,3906,697
USULUTÁN,Ozatlán,12443,6567,2712
USULUTÁN,Puerto El Triunfo,16584,8579,5064
USULUTÁN,San Agustín,6518,3355,1653
USULUTÁN,San Buena Ventura,4726,2441,496
USULUTÁN,San Dionisio,4945,2584,682
USULUTÁN,San Francisco Javier,5409,2783,525
USULUTÁN,Santa Elena,17342,9209,2858
USULUTÁN,Santa Maria,10731,5827,4442
